mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
8	8	0	0	3/4	2	1	V7(9)				B	I		V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	1	4	0.2	0.125	0.625	0.16666666666666666
8	8	1/4	1/4	3/4	2	1	V				B	I		V		V							M	0	0	6, 10, 7		6	6	0	3	0.0	0.0	0.75	0.0
8	8	1/2	1/2	3/4	2	1	V7(9)				B	I		V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	0	5	0.0	0.0	1.25	0.0
9	9	0	0	3/4	2	1	I}{				B	I		I		I						}{	M	0	0	5, 9, 6		5	5	4	11	0.26666666666666666	0.5	2.375	0.17391304347826086
10	10	0	0	3/4	2	1	#viio2/iii				B	I		#viio2/iii		#vii	o	2		iii			o7	0	0	5, 14, 11, 8		14	5	0	9	0.0	0.0	1.875	0.0
10	10	1/2	1/2	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	0	6	0.0	0.0	1.5	0.0
11	11	0	0	3/4	2	1	IV				B	I		IV		IV							M	0	0	4, 8, 5		4	4	2	15	0.11764705882352941	0.25	2.875	0.08
12	12	0	0	3/4	2	1	#viio2/iii				B	I		#viio2/iii		#vii	o	2		iii			o7	0	0	5, 14, 11, 8		14	5	0	9	0.0	0.0	1.8125	0.0
12	12	1/2	1/2	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	0	6	0.0	0.0	1.5	0.0
13	13	0	0	3/4	2	1	V7(9)				B	I		V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	0	12	0.0	0.0	2.5	0.0
13	13	1/2	1/2	3/4	2	1	V(6)				B	I		V(6)		V			6				M	0	0	6, 10, 9		6	6	0	3	0.0	0.0	0.375	0.0
13	13	11/16	11/16	3/4	2	1	V7				B	I		V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	2	0.0	0.0	0.125	0.0
14	14	0	0	3/4	2	1	vi(9#4)				B	I		vi(9#4)		vi			9#4				m	0	0	8, 5, 14	10	8	8	2	7	0.2222222222222222	0.375	1.5	0.2
14	14	1/2	1/2	3/4	2	1	vi7				B	I		vi7		vi		7					mm7	0	0	8, 5, 9, 6		8	8	0	7	0.0	0.0	1.75	0.0
15	15	0	0	3/4	2	1	V7(9)/V				B	I		V7(9)/V		V		7	9	V			Mm7	0	0	7, 11, 8, 5	9	7	7	0	14	0.0	0.0	2.875	0.0
16	16	0	0	3/4	2	1	V[I/V}{				B	I	V	I/V		I				V		}{	M	0	0	6, 10, 7		6	6	4	10	0.2857142857142857	0.5	2.125	0.19047619047619047
17	17	0	0	3/4	2	1	V(4)/V				B	I	V	V(4)/V		V			4	V			M	0	0	7, 6, 8		7	7	1	5	0.16666666666666666	0.125	1.125	0.1
17	17	1/4	1/4	3/4	2	1	V7/V				B	I	V	V7/V		V		7		V			Mm7	0	0	7, 11, 8, 5		7	7	2	4	0.3333333333333333	0.375	0.875	0.3
17	17	1/2	1/2	3/4	2	1	I/V				B	I	V	I/V		I				V			M	0	0	6, 10, 7		6	6	1	4	0.2	0.125	0.875	0.125
18	18	0	0	3/4	2	1	V7/V				B	I	V	V7/V		V		7		V			Mm7	0	0	7, 11, 8, 5		7	7	1	5	0.16666666666666666	0.25	1.0	0.2
18	18	1/4	1/4	3/4	2	1	I/V				B	I	V	I/V		I				V			M	0	0	6, 10, 7		6	6	1	7	0.125	0.125	1.875	0.0625
19	19	0	0	3/4	2	1	V7(4)/V				B	I	V	V7(4)/V		V		7	4	V			Mm7	0	0	7, 6, 8, 5		7	7	1	5	0.16666666666666666	0.125	1.125	0.1
19	19	1/4	1/4	3/4	2	1	V7/V				B	I	V	V7/V		V		7		V			Mm7	0	0	7, 11, 8, 5		7	7	2	4	0.3333333333333333	0.375	0.875	0.3
19	19	1/2	1/2	3/4	2	1	I/V				B	I	V	I/V		I				V			M	0	0	6, 10, 7		6	6	1	4	0.2	0.125	0.875	0.125
20	20	0	0	3/4	2	1	V7/V				B	I	V	V7/V		V		7		V			Mm7	0	0	7, 11, 8, 5		7	7	1	5	0.16666666666666666	0.25	1.0	0.2
20	20	1/4	1/4	3/4	2	1	I/V				B	I	V	I/V		I				V			M	0	0	6, 10, 7		6	6	0	4	0.0	0.0	1.125	0.0
20	20	1/2	1/2	3/4	2	1	v7]				B	I	V	v7		v		7					mm7	0	0	6, 3, 7, 4		6	6	0	4	0.0	0.0	0.875	0.0
21	21	0	0	3/4	2	1	V7(4)/IV				B	I		V7(4)/IV		V		7	4	IV			Mm7	0	0	5, 4, 6, 3		5	5	1	3	0.25	0.125	0.625	0.16666666666666666
21	21	1/4	1/4	3/4	2	1	V7/IV	-0.229372	3.72937	/	B	I		V7/IV		V		7		IV			Mm7	0	0	5, 9, 6, 3		5	5	1	4	0.2	0.125	0.875	0.125
21	21	1/2	1/2	3/4	2	1	IV				B	I		IV		IV							M	0	0	4, 8, 5		4	4	1	4	0.2	0.125	0.875	0.125
22	22	0	0	3/4	2	1	V7/IV				B	I		V7/IV		V		7		IV			Mm7	0	0	5, 9, 6, 3		5	5	0	5	0.0	0.0	1.0	0.0
22	22	1/4	1/4	3/4	2	1	IV				B	I		IV		IV							M	0	0	4, 8, 5		4	4	1	7	0.125	0.125	1.875	0.0625
23	23	0	0	3/4	2	1	V7(4)/III				B	I		V7(4)/III		V		7	4	III			Mm7	0	0	10, 9, 11, 8		10	10	4	0	1.0	0.75	0.0	1.0
23	23	1/4	1/4	3/4	2	1	Fr6/vi				B	I		Fr6/vi	Fr	V		43	b5	V/vi			Fr	0	0	4, 8, 10, 14		10	4	5	0	1.0	1.0	0.0	1.0
